"Sample ID","Input","Input Type","Protocol Name","Output","Output Type"
"MBSMPL0020-15-1004","3104305 (Extract)","DNA extract","dna sequencing","3104305 (Assay)","Assay"
"MBSMPL0020-15-1004","MBSMPL0020-15-1004","sample from organism","dna extraction","3104305 (Extract)","DNA extract"
"MBSMPL0020-15-1005","3104306 (Assay)","Assay","data transformation","3104306 (OTU)","data item"
"MBSMPL0020-15-1005","3104306 (Extract)","DNA extract","dna sequencing","3104306 (Assay)","Assay"
"MBSMPL0020-15-1005","MBSMPL0020-15-1005","sample from organism","dna extraction","3104306 (Extract)","DNA extract"
"MBSMPL0020-15-1006","3104308 (Assay)","Assay","data transformation","3104308 (OTU)","data item"
"MBSMPL0020-15-1006","3104308 (Extract)","DNA extract","dna sequencing","3104308 (Assay)","Assay"
"MBSMPL0020-15-1006","MBSMPL0020-15-1006","sample from organism","dna extraction","3104308 (Extract)","DNA extract"
"MBSMPL0020-15-1007","3104309 (Assay)","Assay","data transformation","3104309 (OTU)","data item"
"MBSMPL0020-15-1007","3104309 (Extract)","DNA extract","dna sequencing","3104309 (Assay)","Assay"
"MBSMPL0020-15-1007","MBSMPL0020-15-1007","sample from organism","dna extraction","3104309 (Extract)","DNA extract"
"MBSMPL0020-15-1008","3104310 (Assay)","Assay","data transformation","3104310 (OTU)","data item"
"MBSMPL0020-15-1008","3104310 (Extract)","DNA extract","dna sequencing","3104310 (Assay)","Assay"
"MBSMPL0020-15-1008","MBSMPL0020-15-1008","sample from organism","dna extraction","3104310 (Extract)","DNA extract"
"MBSMPL0020-15-1009","3104311 (Assay)","Assay","data transformation","3104311 (OTU)","data item"
"MBSMPL0020-15-1009","3104311 (Extract)","DNA extract","dna sequencing","3104311 (Assay)","Assay"
"MBSMPL0020-15-1009","MBSMPL0020-15-1009","sample from organism","dna extraction","3104311 (Extract)","DNA extract"
"MBSMPL0020-15-101","3100146 (Assay)","Assay","data transformation","3100146 (OTU)","data item"
"MBSMPL0020-15-101","3100146 (Extract)","DNA extract","dna sequencing","3100146 (Assay)","Assay"
"MBSMPL0020-15-101","MBSMPL0020-15-101","sample from organism","dna extraction","3100146 (Extract)","DNA extract"
"MBSMPL0020-15-1010","3104312 (Assay)","Assay","data transformation","3104312 (OTU)","data item"
"MBSMPL0020-15-1010","3104312 (Extract)","DNA extract","dna sequencing","3104312 (Assay)","Assay"
"MBSMPL0020-15-1010","MBSMPL0020-15-1010","sample from organism","dna extraction","3104312 (Extract)","DNA extract"
"MBSMPL0020-15-1011","3104313 (Assay)","Assay","data transformation","3104313 (OTU)","data item"
"MBSMPL0020-15-1011","3104313 (Extract)","DNA extract","dna sequencing","3104313 (Assay)","Assay"
"MBSMPL0020-15-1011","MBSMPL0020-15-1011","sample from organism","dna extraction","3104313 (Extract)","DNA extract"
"MBSMPL0020-15-1012","3104314 (Assay)","Assay","data transformation","3104314 (OTU)","data item"
"MBSMPL0020-15-1012","3104314 (Extract)","DNA extract","dna sequencing","3104314 (Assay)","Assay"
"MBSMPL0020-15-1012","MBSMPL0020-15-1012","sample from organism","dna extraction","3104314 (Extract)","DNA extract"
"MBSMPL0020-15-1013","3104315 (Assay)","Assay","data transformation","3104315 (OTU)","data item"
"MBSMPL0020-15-1013","3104315 (Extract)","DNA extract","dna sequencing","3104315 (Assay)","Assay"
"MBSMPL0020-15-1013","MBSMPL0020-15-1013","sample from organism","dna extraction","3104315 (Extract)","DNA extract"
"MBSMPL0020-15-1014","3104316 (Assay)","Assay","data transformation","3104316 (OTU)","data item"
"MBSMPL0020-15-1014","3104316 (Extract)","DNA extract","dna sequencing","3104316 (Assay)","Assay"
"MBSMPL0020-15-1014","MBSMPL0020-15-1014","sample from organism","dna extraction","3104316 (Extract)","DNA extract"
"MBSMPL0020-15-1015","3104317 (Assay)","Assay","data transformation","3104317 (OTU)","data item"
"MBSMPL0020-15-1015","3104317 (Extract)","DNA extract","dna sequencing","3104317 (Assay)","Assay"
"MBSMPL0020-15-1015","MBSMPL0020-15-1015","sample from organism","dna extraction","3104317 (Extract)","DNA extract"
"MBSMPL0020-15-1016","3104318 (Assay)","Assay","data transformation","3104318 (OTU)","data item"
"MBSMPL0020-15-1016","3104318 (Extract)","DNA extract","dna sequencing","3104318 (Assay)","Assay"
"MBSMPL0020-15-1016","MBSMPL0020-15-1016","sample from organism","dna extraction","3104318 (Extract)","DNA extract"
"MBSMPL0020-15-1017","3104319 (Assay)","Assay","data transformation","3104319 (OTU)","data item"
"MBSMPL0020-15-1017","3104319 (Extract)","DNA extract","dna sequencing","3104319 (Assay)","Assay"
"MBSMPL0020-15-1017","MBSMPL0020-15-1017","sample from organism","dna extraction","3104319 (Extract)","DNA extract"
"MBSMPL0020-15-1018","3104320 (Assay)","Assay","data transformation","3104320 (OTU)","data item"
"MBSMPL0020-15-1018","3104320 (Extract)","DNA extract","dna sequencing","3104320 (Assay)","Assay"
"MBSMPL0020-15-1018","MBSMPL0020-15-1018","sample from organism","dna extraction","3104320 (Extract)","DNA extract"
"MBSMPL0020-15-102","3100148 (Assay)","Assay","data transformation","3100148 (OTU)","data item"
"MBSMPL0020-15-102","3100148 (Extract)","DNA extract","dna sequencing","3100148 (Assay)","Assay"
"MBSMPL0020-15-102","MBSMPL0020-15-102","sample from organism","dna extraction","3100148 (Extract)","DNA extract"
"MBSMPL0020-15-1020","3104323 (Assay)","Assay","data transformation","3104323 (OTU)","data item"
"MBSMPL0020-15-1020","3104323 (Extract)","DNA extract","dna sequencing","3104323 (Assay)","Assay"
"MBSMPL0020-15-1020","MBSMPL0020-15-1020","sample from organism","dna extraction","3104323 (Extract)","DNA extract"
"MBSMPL0020-15-1021","3104324 (Assay)","Assay","data transformation","3104324 (OTU)","data item"
"MBSMPL0020-15-1021","3104324 (Extract)","DNA extract","dna sequencing","3104324 (Assay)","Assay"
"MBSMPL0020-15-1021","MBSMPL0020-15-1021","sample from organism","dna extraction","3104324 (Extract)","DNA extract"
"MBSMPL0020-15-1022","3104325 (Assay)","Assay","data transformation","3104325 (OTU)","data item"
"MBSMPL0020-15-1022","3104325 (Extract)","DNA extract","dna sequencing","3104325 (Assay)","Assay"
"MBSMPL0020-15-1022","MBSMPL0020-15-1022","sample from organism","dna extraction","3104325 (Extract)","DNA extract"
"MBSMPL0020-15-1023","3104326 (Assay)","Assay","data transformation","3104326 (OTU)","data item"
"MBSMPL0020-15-1023","3104326 (Extract)","DNA extract","dna sequencing","3104326 (Assay)","Assay"
"MBSMPL0020-15-1023","MBSMPL0020-15-1023","sample from organism","dna extraction","3104326 (Extract)","DNA extract"
"MBSMPL0020-15-1024","3104327 (Assay)","Assay","data transformation","3104327 (OTU)","data item"
"MBSMPL0020-15-1024","3104327 (Extract)","DNA extract","dna sequencing","3104327 (Assay)","Assay"
"MBSMPL0020-15-1024","MBSMPL0020-15-1024","sample from organism","dna extraction","3104327 (Extract)","DNA extract"
"MBSMPL0020-15-1025","3104328 (Assay)","Assay","data transformation","3104328 (OTU)","data item"
"MBSMPL0020-15-1025","3104328 (Extract)","DNA extract","dna sequencing","3104328 (Assay)","Assay"
"MBSMPL0020-15-1025","MBSMPL0020-15-1025","sample from organism","dna extraction","3104328 (Extract)","DNA extract"
"MBSMPL0020-15-1026","3104329 (Assay)","Assay","data transformation","3104329 (OTU)","data item"
"MBSMPL0020-15-1026","3104329 (Extract)","DNA extract","dna sequencing","3104329 (Assay)","Assay"
"MBSMPL0020-15-1026","MBSMPL0020-15-1026","sample from organism","dna extraction","3104329 (Extract)","DNA extract"
"MBSMPL0020-15-1027","3104330 (Assay)","Assay","data transformation","3104330 (OTU)","data item"
"MBSMPL0020-15-1027","3104330 (Extract)","DNA extract","dna sequencing","3104330 (Assay)","Assay"
"MBSMPL0020-15-1027","MBSMPL0020-15-1027","sample from organism","dna extraction","3104330 (Extract)","DNA extract"
"MBSMPL0020-15-1028","3104331 (Assay)","Assay","data transformation","3104331 (OTU)","data item"
"MBSMPL0020-15-1028","3104331 (Extract)","DNA extract","dna sequencing","3104331 (Assay)","Assay"
"MBSMPL0020-15-1028","MBSMPL0020-15-1028","sample from organism","dna extraction","3104331 (Extract)","DNA extract"
"MBSMPL0020-15-1029","3104332 (Assay)","Assay","data transformation","3104332 (OTU)","data item"
"MBSMPL0020-15-1029","3104332 (Extract)","DNA extract","dna sequencing","3104332 (Assay)","Assay"
"MBSMPL0020-15-1029","MBSMPL0020-15-1029","sample from organism","dna extraction","3104332 (Extract)","DNA extract"
"MBSMPL0020-15-103","3100149 (Assay)","Assay","data transformation","3100149 (OTU)","data item"
"MBSMPL0020-15-103","3100149 (Extract)","DNA extract","dna sequencing","3100149 (Assay)","Assay"
"MBSMPL0020-15-103","MBSMPL0020-15-103","sample from organism","dna extraction","3100149 (Extract)","DNA extract"
"MBSMPL0020-15-1030","3104333 (Assay)","Assay","data transformation","3104333 (OTU)","data item"
"MBSMPL0020-15-1030","3104333 (Extract)","DNA extract","dna sequencing","3104333 (Assay)","Assay"
"MBSMPL0020-15-1030","MBSMPL0020-15-1030","sample from organism","dna extraction","3104333 (Extract)","DNA extract"
"MBSMPL0020-15-1031","3104334 (Assay)","Assay","data transformation","3104334 (OTU)","data item"
"MBSMPL0020-15-1031","3104334 (Extract)","DNA extract","dna sequencing","3104334 (Assay)","Assay"
"MBSMPL0020-15-1031","MBSMPL0020-15-1031","sample from organism","dna extraction","3104334 (Extract)","DNA extract"
"MBSMPL0020-15-1032","3104335 (Assay)","Assay","data transformation","3104335 (OTU)","data item"
"MBSMPL0020-15-1032","3104335 (Extract)","DNA extract","dna sequencing","3104335 (Assay)","Assay"
"MBSMPL0020-15-1032","MBSMPL0020-15-1032","sample from organism","dna extraction","3104335 (Extract)","DNA extract"
"MBSMPL0020-15-1033","3104336 (Assay)","Assay","data transformation","3104336 (OTU)","data item"
"MBSMPL0020-15-1033","3104336 (Extract)","DNA extract","dna sequencing","3104336 (Assay)","Assay"
"MBSMPL0020-15-1033","MBSMPL0020-15-1033","sample from organism","dna extraction","3104336 (Extract)","DNA extract"
"MBSMPL0020-15-1034","3104337 (Assay)","Assay","data transformation","3104337 (OTU)","data item"
"MBSMPL0020-15-1034","3104337 (Extract)","DNA extract","dna sequencing","3104337 (Assay)","Assay"
"MBSMPL0020-15-1034","MBSMPL0020-15-1034","sample from organism","dna extraction","3104337 (Extract)","DNA extract"
"MBSMPL0020-15-1035","3104338 (Assay)","Assay","data transformation","3104338 (OTU)","data item"
"MBSMPL0020-15-1035","3104338 (Extract)","DNA extract","dna sequencing","3104338 (Assay)","Assay"
"MBSMPL0020-15-1035","MBSMPL0020-15-1035","sample from organism","dna extraction","3104338 (Extract)","DNA extract"
"MBSMPL0020-15-1037","3104341 (Assay)","Assay","data transformation","3104341 (OTU)","data item"
"MBSMPL0020-15-1037","3104341 (Extract)","DNA extract","dna sequencing","3104341 (Assay)","Assay"
"MBSMPL0020-15-1037","MBSMPL0020-15-1037","sample from organism","dna extraction","3104341 (Extract)","DNA extract"
"MBSMPL0020-15-1038","3104342 (Assay)","Assay","data transformation","3104342 (OTU)","data item"
"MBSMPL0020-15-1038","3104342 (Extract)","DNA extract","dna sequencing","3104342 (Assay)","Assay"
"MBSMPL0020-15-1038","MBSMPL0020-15-1038","sample from organism","dna extraction","3104342 (Extract)","DNA extract"
"MBSMPL0020-15-1039","3104343 (Assay)","Assay","data transformation","3104343 (OTU)","data item"
"MBSMPL0020-15-1039","3104343 (Extract)","DNA extract","dna sequencing","3104343 (Assay)","Assay"
"MBSMPL0020-15-1039","MBSMPL0020-15-1039","sample from organism","dna extraction","3104343 (Extract)","DNA extract"
"MBSMPL0020-15-104","3100150 (Assay)","Assay","data transformation","3100150 (OTU)","data item"
"MBSMPL0020-15-104","3100150 (Extract)","DNA extract","dna sequencing","3100150 (Assay)","Assay"
"MBSMPL0020-15-104","MBSMPL0020-15-104","sample from organism","dna extraction","3100150 (Extract)","DNA extract"
"MBSMPL0020-15-1040","3104344 (Assay)","Assay","data transformation","3104344 (OTU)","data item"
"MBSMPL0020-15-1040","3104344 (Extract)","DNA extract","dna sequencing","3104344 (Assay)","Assay"
"MBSMPL0020-15-1040","MBSMPL0020-15-1040","sample from organism","dna extraction","3104344 (Extract)","DNA extract"
"MBSMPL0020-15-1041","3104345 (Assay)","Assay","data transformation","3104345 (OTU)","data item"
"MBSMPL0020-15-1041","3104345 (Extract)","DNA extract","dna sequencing","3104345 (Assay)","Assay"
"MBSMPL0020-15-1041","MBSMPL0020-15-1041","sample from organism","dna extraction","3104345 (Extract)","DNA extract"
"MBSMPL0020-15-1042","3104346 (Assay)","Assay","data transformation","3104346 (OTU)","data item"
"MBSMPL0020-15-1042","3104346 (Extract)","DNA extract","dna sequencing","3104346 (Assay)","Assay"
"MBSMPL0020-15-1042","MBSMPL0020-15-1042","sample from organism","dna extraction","3104346 (Extract)","DNA extract"
"MBSMPL0020-15-1043","3104347 (Assay)","Assay","data transformation","3104347 (OTU)","data item"
"MBSMPL0020-15-1043","3104347 (Extract)","DNA extract","dna sequencing","3104347 (Assay)","Assay"
"MBSMPL0020-15-1043","MBSMPL0020-15-1043","sample from organism","dna extraction","3104347 (Extract)","DNA extract"
"MBSMPL0020-15-1044","3104349 (Assay)","Assay","data transformation","3104349 (OTU)","data item"
"MBSMPL0020-15-1044","3104349 (Extract)","DNA extract","dna sequencing","3104349 (Assay)","Assay"
"MBSMPL0020-15-1044","MBSMPL0020-15-1044","sample from organism","dna extraction","3104349 (Extract)","DNA extract"
"MBSMPL0020-15-1045","3104350 (Assay)","Assay","data transformation","3104350 (OTU)","data item"
"MBSMPL0020-15-1045","3104350 (Extract)","DNA extract","dna sequencing","3104350 (Assay)","Assay"
"MBSMPL0020-15-1045","MBSMPL0020-15-1045","sample from organism","dna extraction","3104350 (Extract)","DNA extract"
"MBSMPL0020-15-1046","3104884 (Assay)","Assay","data transformation","3104884 (OTU)","data item"
"MBSMPL0020-15-1046","3104884 (Extract)","DNA extract","dna sequencing","3104884 (Assay)","Assay"
"MBSMPL0020-15-1046","MBSMPL0020-15-1046","sample from organism","dna extraction","3104884 (Extract)","DNA extract"
"MBSMPL0020-15-1047","3104909 (Assay)","Assay","data transformation","3104909 (OTU)","data item"
"MBSMPL0020-15-1047","3104909 (Extract)","DNA extract","dna sequencing","3104909 (Assay)","Assay"
"MBSMPL0020-15-1047","MBSMPL0020-15-1047","sample from organism","dna extraction","3104909 (Extract)","DNA extract"
"MBSMPL0020-15-1048","3104911 (Assay)","Assay","data transformation","3104911 (OTU)","data item"
"MBSMPL0020-15-1048","3104911 (Extract)","DNA extract","dna sequencing","3104911 (Assay)","Assay"
"MBSMPL0020-15-1048","MBSMPL0020-15-1048","sample from organism","dna extraction","3104911 (Extract)","DNA extract"
"MBSMPL0020-15-1049","3104912 (Assay)","Assay","data transformation","3104912 (OTU)","data item"
"MBSMPL0020-15-1049","3104912 (Extract)","DNA extract","dna sequencing","3104912 (Assay)","Assay"
"MBSMPL0020-15-1049","MBSMPL0020-15-1049","sample from organism","dna extraction","3104912 (Extract)","DNA extract"
"MBSMPL0020-15-105","3100151 (Assay)","Assay","data transformation","3100151 (OTU)","data item"
"MBSMPL0020-15-105","3100151 (Extract)","DNA extract","dna sequencing","3100151 (Assay)","Assay"
"MBSMPL0020-15-105","MBSMPL0020-15-105","sample from organism","dna extraction","3100151 (Extract)","DNA extract"
"MBSMPL0020-15-1050","3104913 (Assay)","Assay","data transformation","3104913 (OTU)","data item"
"MBSMPL0020-15-1050","3104913 (Extract)","DNA extract","dna sequencing","3104913 (Assay)","Assay"
"MBSMPL0020-15-1050","MBSMPL0020-15-1050","sample from organism","dna extraction","3104913 (Extract)","DNA extract"
"MBSMPL0020-15-1051","3104923 (Assay)","Assay","data transformation","3104923 (OTU)","data item"
"MBSMPL0020-15-1051","3104923 (Extract)","DNA extract","dna sequencing","3104923 (Assay)","Assay"
"MBSMPL0020-15-1051","MBSMPL0020-15-1051","sample from organism","dna extraction","3104923 (Extract)","DNA extract"
"MBSMPL0020-15-1052","3104927 (Assay)","Assay","data transformation","3104927 (OTU)","data item"
"MBSMPL0020-15-1052","3104927 (Extract)","DNA extract","dna sequencing","3104927 (Assay)","Assay"
"MBSMPL0020-15-1052","MBSMPL0020-15-1052","sample from organism","dna extraction","3104927 (Extract)","DNA extract"
"MBSMPL0020-15-1053","3104929 (Assay)","Assay","data transformation","3104929 (OTU)","data item"
"MBSMPL0020-15-1053","3104929 (Extract)","DNA extract","dna sequencing","3104929 (Assay)","Assay"
"MBSMPL0020-15-1053","MBSMPL0020-15-1053","sample from organism","dna extraction","3104929 (Extract)","DNA extract"
"MBSMPL0020-15-1054","3104933 (Assay)","Assay","data transformation","3104933 (OTU)","data item"
"MBSMPL0020-15-1054","3104933 (Extract)","DNA extract","dna sequencing","3104933 (Assay)","Assay"
"MBSMPL0020-15-1054","MBSMPL0020-15-1054","sample from organism","dna extraction","3104933 (Extract)","DNA extract"
"MBSMPL0020-15-1055","3104937 (Assay)","Assay","data transformation","3104937 (OTU)","data item"
"MBSMPL0020-15-1055","3104937 (Extract)","DNA extract","dna sequencing","3104937 (Assay)","Assay"
"MBSMPL0020-15-1055","MBSMPL0020-15-1055","sample from organism","dna extraction","3104937 (Extract)","DNA extract"
"MBSMPL0020-15-1057","3104942 (Assay)","Assay","data transformation","3104942 (OTU)","data item"
"MBSMPL0020-15-1057","3104942 (Extract)","DNA extract","dna sequencing","3104942 (Assay)","Assay"
"MBSMPL0020-15-1057","MBSMPL0020-15-1057","sample from organism","dna extraction","3104942 (Extract)","DNA extract"
"MBSMPL0020-15-1058","3104974 (Assay)","Assay","data transformation","3104974 (OTU)","data item"
"MBSMPL0020-15-1058","3104974 (Extract)","DNA extract","dna sequencing","3104974 (Assay)","Assay"
"MBSMPL0020-15-1058","MBSMPL0020-15-1058","sample from organism","dna extraction","3104974 (Extract)","DNA extract"
"MBSMPL0020-15-1059","3104976 (Assay)","Assay","data transformation","3104976 (OTU)","data item"
"MBSMPL0020-15-1059","3104976 (Extract)","DNA extract","dna sequencing","3104976 (Assay)","Assay"
"MBSMPL0020-15-1059","MBSMPL0020-15-1059","sample from organism","dna extraction","3104976 (Extract)","DNA extract"
"MBSMPL0020-15-106","3100152 (Assay)","Assay","data transformation","3100152 (OTU)","data item"
"MBSMPL0020-15-106","3100152 (Extract)","DNA extract","dna sequencing","3100152 (Assay)","Assay"
"MBSMPL0020-15-106","MBSMPL0020-15-106","sample from organism","dna extraction","3100152 (Extract)","DNA extract"
"MBSMPL0020-15-1060","3104984 (Assay)","Assay","data transformation","3104984 (OTU)","data item"
"MBSMPL0020-15-1060","3104984 (Extract)","DNA extract","dna sequencing","3104984 (Assay)","Assay"
"MBSMPL0020-15-1060","MBSMPL0020-15-1060","sample from organism","dna extraction","3104984 (Extract)","DNA extract"
"MBSMPL0020-15-1061","3104985 (Assay)","Assay","data transformation","3104985 (OTU)","data item"
"MBSMPL0020-15-1061","3104985 (Extract)","DNA extract","dna sequencing","3104985 (Assay)","Assay"
"MBSMPL0020-15-1061","MBSMPL0020-15-1061","sample from organism","dna extraction","3104985 (Extract)","DNA extract"
"MBSMPL0020-15-1062","3104992 (Assay)","Assay","data transformation","3104992 (OTU)","data item"
"MBSMPL0020-15-1062","3104992 (Extract)","DNA extract","dna sequencing","3104992 (Assay)","Assay"
"MBSMPL0020-15-1062","MBSMPL0020-15-1062","sample from organism","dna extraction","3104992 (Extract)","DNA extract"
"MBSMPL0020-15-1063","3105006 (Assay)","Assay","data transformation","3105006 (OTU)","data item"
"MBSMPL0020-15-1063","3105006 (Extract)","DNA extract","dna sequencing","3105006 (Assay)","Assay"
"MBSMPL0020-15-1063","MBSMPL0020-15-1063","sample from organism","dna extraction","3105006 (Extract)","DNA extract"
"MBSMPL0020-15-1065","3105066 (Assay)","Assay","data transformation","3105066 (OTU)","data item"
"MBSMPL0020-15-1065","3105066 (Extract)","DNA extract","dna sequencing","3105066 (Assay)","Assay"
"MBSMPL0020-15-1065","MBSMPL0020-15-1065","sample from organism","dna extraction","3105066 (Extract)","DNA extract"
"MBSMPL0020-15-1066","3105103 (Assay)","Assay","data transformation","3105103 (OTU)","data item"
"MBSMPL0020-15-1066","3105103 (Extract)","DNA extract","dna sequencing","3105103 (Assay)","Assay"
"MBSMPL0020-15-1066","MBSMPL0020-15-1066","sample from organism","dna extraction","3105103 (Extract)","DNA extract"
"MBSMPL0020-15-1067","3105127 (Assay)","Assay","data transformation","3105127 (OTU)","data item"
"MBSMPL0020-15-1067","3105127 (Extract)","DNA extract","dna sequencing","3105127 (Assay)","Assay"
"MBSMPL0020-15-1067","MBSMPL0020-15-1067","sample from organism","dna extraction","3105127 (Extract)","DNA extract"
"MBSMPL0020-15-1068","3105129 (Assay)","Assay","data transformation","3105129 (OTU)","data item"
"MBSMPL0020-15-1068","3105129 (Extract)","DNA extract","dna sequencing","3105129 (Assay)","Assay"
"MBSMPL0020-15-1068","MBSMPL0020-15-1068","sample from organism","dna extraction","3105129 (Extract)","DNA extract"
"MBSMPL0020-15-1069","3105133 (Assay)","Assay","data transformation","3105133 (OTU)","data item"
"MBSMPL0020-15-1069","3105133 (Extract)","DNA extract","dna sequencing","3105133 (Assay)","Assay"
"MBSMPL0020-15-1069","MBSMPL0020-15-1069","sample from organism","dna extraction","3105133 (Extract)","DNA extract"
"MBSMPL0020-15-107","3100153 (Assay)","Assay","data transformation","3100153 (OTU)","data item"
"MBSMPL0020-15-107","3100153 (Extract)","DNA extract","dna sequencing","3100153 (Assay)","Assay"
"MBSMPL0020-15-107","MBSMPL0020-15-107","sample from organism","dna extraction","3100153 (Extract)","DNA extract"
"MBSMPL0020-15-1070","3105134 (Assay)","Assay","data transformation","3105134 (OTU)","data item"
"MBSMPL0020-15-1070","3105134 (Extract)","DNA extract","dna sequencing","3105134 (Assay)","Assay"
"MBSMPL0020-15-1070","MBSMPL0020-15-1070","sample from organism","dna extraction","3105134 (Extract)","DNA extract"
"MBSMPL0020-15-1071","3105168 (Assay)","Assay","data transformation","3105168 (OTU)","data item"
"MBSMPL0020-15-1071","3105168 (Extract)","DNA extract","dna sequencing","3105168 (Assay)","Assay"
"MBSMPL0020-15-1071","MBSMPL0020-15-1071","sample from organism","dna extraction","3105168 (Extract)","DNA extract"
"MBSMPL0020-15-1073","3105186 (Assay)","Assay","data transformation","3105186 (OTU)","data item"
"MBSMPL0020-15-1073","3105186 (Extract)","DNA extract","dna sequencing","3105186 (Assay)","Assay"
"MBSMPL0020-15-1073","MBSMPL0020-15-1073","sample from organism","dna extraction","3105186 (Extract)","DNA extract"
"MBSMPL0020-15-1075","3105222 (Assay)","Assay","data transformation","3105222 (OTU)","data item"
"MBSMPL0020-15-1075","3105222 (Extract)","DNA extract","dna sequencing","3105222 (Assay)","Assay"
"MBSMPL0020-15-1075","MBSMPL0020-15-1075","sample from organism","dna extraction","3105222 (Extract)","DNA extract"
"MBSMPL0020-15-1076","3105257 (Assay)","Assay","data transformation","3105257 (OTU)","data item"
"MBSMPL0020-15-1076","3105257 (Extract)","DNA extract","dna sequencing","3105257 (Assay)","Assay"
"MBSMPL0020-15-1076","MBSMPL0020-15-1076","sample from organism","dna extraction","3105257 (Extract)","DNA extract"
"MBSMPL0020-15-1077","3105263 (Assay)","Assay","data transformation","3105263 (OTU)","data item"
"MBSMPL0020-15-1077","3105263 (Extract)","DNA extract","dna sequencing","3105263 (Assay)","Assay"
"MBSMPL0020-15-1077","MBSMPL0020-15-1077","sample from organism","dna extraction","3105263 (Extract)","DNA extract"
"MBSMPL0020-15-1078","3105269 (Assay)","Assay","data transformation","3105269 (OTU)","data item"
"MBSMPL0020-15-1078","3105269 (Extract)","DNA extract","dna sequencing","3105269 (Assay)","Assay"
"MBSMPL0020-15-1078","MBSMPL0020-15-1078","sample from organism","dna extraction","3105269 (Extract)","DNA extract"
"MBSMPL0020-15-1079","3105275 (Assay)","Assay","data transformation","3105275 (OTU)","data item"
"MBSMPL0020-15-1079","3105275 (Extract)","DNA extract","dna sequencing","3105275 (Assay)","Assay"
"MBSMPL0020-15-1079","MBSMPL0020-15-1079","sample from organism","dna extraction","3105275 (Extract)","DNA extract"
"MBSMPL0020-15-108","3100154 (Assay)","Assay","data transformation","3100154 (OTU)","data item"
"MBSMPL0020-15-108","3100154 (Extract)","DNA extract","dna sequencing","3100154 (Assay)","Assay"
"MBSMPL0020-15-108","MBSMPL0020-15-108","sample from organism","dna extraction","3100154 (Extract)","DNA extract"
"MBSMPL0020-15-1080","3105281 (Assay)","Assay","data transformation","3105281 (OTU)","data item"
"MBSMPL0020-15-1080","3105281 (Extract)","DNA extract","dna sequencing","3105281 (Assay)","Assay"
"MBSMPL0020-15-1080","MBSMPL0020-15-1080","sample from organism","dna extraction","3105281 (Extract)","DNA extract"
"MBSMPL0020-15-1081","3105284 (Assay)","Assay","data transformation","3105284 (OTU)","data item"
"MBSMPL0020-15-1081","3105284 (Extract)","DNA extract","dna sequencing","3105284 (Assay)","Assay"
"MBSMPL0020-15-1081","MBSMPL0020-15-1081","sample from organism","dna extraction","3105284 (Extract)","DNA extract"
"MBSMPL0020-15-1082","3105301 (Assay)","Assay","data transformation","3105301 (OTU)","data item"
"MBSMPL0020-15-1082","3105301 (Extract)","DNA extract","dna sequencing","3105301 (Assay)","Assay"
"MBSMPL0020-15-1082","MBSMPL0020-15-1082","sample from organism","dna extraction","3105301 (Extract)","DNA extract"
"MBSMPL0020-15-1083","3105315 (Assay)","Assay","data transformation","3105315 (OTU)","data item"
"MBSMPL0020-15-1083","3105315 (Extract)","DNA extract","dna sequencing","3105315 (Assay)","Assay"
