"Sample ID","Input","Input Type","Protocol Name","Output","Output Type"
"MBSMPL0020-15-1","3000007 (Assay)","Assay","data transformation","3000007 (OTU)","data item"
"MBSMPL0020-15-1","3000007 (Extract)","DNA extract","dna sequencing","3000007 (Assay)","Assay"
"MBSMPL0020-15-1","MBSMPL0020-15-1","sample from organism","dna extraction","3000007 (Extract)","DNA extract"
"MBSMPL0020-15-100","3100145 (Assay)","Assay","data transformation","3100145 (OTU)","data item"
"MBSMPL0020-15-100","3100145 (Extract)","DNA extract","dna sequencing","3100145 (Assay)","Assay"
"MBSMPL0020-15-100","MBSMPL0020-15-100","sample from organism","dna extraction","3100145 (Extract)","DNA extract"
"MBSMPL0020-15-1000","3104301 (Assay)","Assay","data transformation","3104301 (OTU)","data item"
"MBSMPL0020-15-1000","3104301 (Extract)","DNA extract","dna sequencing","3104301 (Assay)","Assay"
"MBSMPL0020-15-1000","MBSMPL0020-15-1000","sample from organism","dna extraction","3104301 (Extract)","DNA extract"
"MBSMPL0020-15-1001","3104302 (Assay)","Assay","data transformation","3104302 (OTU)","data item"
"MBSMPL0020-15-1001","3104302 (Extract)","DNA extract","dna sequencing","3104302 (Assay)","Assay"
"MBSMPL0020-15-1001","MBSMPL0020-15-1001","sample from organism","dna extraction","3104302 (Extract)","DNA extract"
"MBSMPL0020-15-1002","3104303 (Assay)","Assay","data transformation","3104303 (OTU)","data item"
"MBSMPL0020-15-1002","3104303 (Extract)","DNA extract","dna sequencing","3104303 (Assay)","Assay"
"MBSMPL0020-15-1002","MBSMPL0020-15-1002","sample from organism","dna extraction","3104303 (Extract)","DNA extract"
"MBSMPL0020-15-1003","3104304 (Assay)","Assay","data transformation","3104304 (OTU)","data item"
"MBSMPL0020-15-1003","3104304 (Extract)","DNA extract","dna sequencing","3104304 (Assay)","Assay"
"MBSMPL0020-15-1003","MBSMPL0020-15-1003","sample from organism","dna extraction","3104304 (Extract)","DNA extract"
"MBSMPL0020-15-1004","3104305 (Assay)","Assay","data transformation","3104305 (OTU)","data item"
