fips,65yrs,minority,black,hispanic,population,perc_65yrs,perc_minority,perc_black,perc_hispanic,poverty,perc_poverty,income,risk_flu,perc_rural_pop,perc_urban_pop,case0,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16,case17,case18,case19,case20,case21,case22,case23,case24,case25,case26,case27,case28,case29,case30,case31,case32,case33,case34,case35,death0,death1,death2,death3,death4,death5,death6,death7,death8,death9,death10,death11,death12,death13,death14,death15,death16,death17,death18,death19,death20,death21,death22,death23,death24,death25,death26,death27,death28,death29,death30,death31,death32,death33,death34,death35,total_case,total_death
01037,2568,3545,3294,280,10663,0.240833,0.332458,0.308919,0.026258999999999998,1973,18.9,42423,-0.67081,100.0,0.0,5.0,5.0,15.0,4.0,1.0,1.0,1.0,0.0,6.0,2.0,6.0,3.0,5.0,4.0,9.0,6.0,10.0,14.0,16.0,7.0,11.0,8.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,7.0,19.0,9.0,29.0,37.0,40.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,393,4
01039,7920,5738,4638,687,37049,0.21377100000000002,0.15487599999999999,0.125186,0.018543,7239,19.9,40203,-0.56145,69.7,30.3,5.0,7.0,13.0,11.0,10.0,7.0,8.0,6.0,15.0,10.0,75.0,55.0,69.0,63.0,75.0,130.0,135.0,99.0,67.0,56.0,94.0,61.0,89.0,65.0,67.0,97.0,76.0,89.0,84.0,101.0,148.0,53.0,82.0,94.0,73.0,169.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,2370,38
01041,2671,3833,3289,333,13772,0.193944,0.278318,0.23881799999999997,0.024179,2661,19.5,39057,-0.64635,100.0,0.0,2.0,1.0,2.0,7.0,11.0,17.0,16.0,8.0,18.0,9.0,25.0,6.0,7.0,3.0,8.0,23.0,76.0,66.0,38.0,48.0,39.0,35.0,19.0,22.0,16.0,18.0,7.0,21.0,20.0,18.0,15.0,22.0,28.0,29.0,11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,13.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,745,31
01043,15735,3580,1156,3752,83768,0.18784,0.042737,0.0138,0.044789999999999996,11925,14.5,45796,-0.35475999999999996,73.2,26.8,15.0,16.0,14.0,8.0,6.0,6.0,6.0,5.0,60.0,61.0,72.0,38.0,69.0,81.0,151.0,189.0,164.0,198.0,125.0,66.0,146.0,100.0,59.0,74.0,82.0,67.0,63.0,95.0,193.0,241.0,351.0,369.0,461.0,414.0,329.0,591.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,6.0,6.0,11.0,5032,54
01045,8502,12899,10314,3450,49172,0.172903,0.262324,0.209754,0.070162,7743,16.2,45309,-0.5377,50.9,49.1,2.0,6.0,10.0,6.0,3.0,16.0,18.0,22.0,30.0,18.0,41.0,30.0,27.0,59.0,101.0,118.0,168.0,100.0,67.0,47.0,117.0,65.0,75.0,82.0,80.0,70.0,116.0,44.0,72.0,147.0,167.0,117.0,116.0,85.0,84.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,2.0,5.0,6.0,7.0,1.0,5.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,2528,59
01047,7021,26937,26300,429,37196,0.18875699999999998,0.724191,0.7070649999999999,0.011533,11841,31.4,34035,-0.52955,45.6,54.4,7.0,2.0,7.0,11.0,18.0,56.0,44.0,48.0,72.0,59.0,163.0,137.0,116.0,127.0,129.0,135.0,105.0,104.0,57.0,65.0,54.0,77.0,55.0,51.0,31.0,46.0,19.0,27.0,16.0,22.0,46.0,78.0,71.0,133.0,74.0,116.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,4.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2384,33
01049,12601,5210,1340,10774,71513,0.176206,0.072854,0.018738,0.150658,14975,21.3,39491,-0.43968,90.1,9.9,13.0,8.0,20.0,20.0,13.0,66.0,52.0,27.0,27.0,26.0,51.0,95.0,130.0,178.0,244.0,319.0,220.0,193.0,172.0,86.0,106.0,82.0,69.0,51.0,74.0,81.0,183.0,234.0,291.0,289.0,266.0,203.0,286.0,402.0,278.0,427.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,7.0,5334,44
01051,12657,19748,17179,2563,81209,0.155857,0.243175,0.21154099999999998,0.031561,8559,11.2,60367,-0.31274,54.2,45.8,19.0,12.0,26.0,20.0,19.0,39.0,52.0,63.0,89.0,68.0,113.0,130.0,120.0,127.0,145.0,201.0,211.0,154.0,158.0,115.0,121.0,154.0,123.0,126.0,123.0,126.0,155.0,129.0,132.0,124.0,110.0,144.0,176.0,261.0,183.0,378.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,6.0,7.0,7.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,2.0,0.0,3.0,6.0,4482,70
01053,6691,13818,11450,952,36633,0.18265,0.377201,0.31256,0.025987,8022,23.6,38418,-0.51048,63.5,36.5,1.0,6.0,5.0,9.0,7.0,8.0,3.0,1.0,17.0,28.0,19.0,46.0,71.0,126.0,132.0,153.0,220.0,167.0,158.0,52.0,89.0,75.0,50.0,63.0,39.0,52.0,45.0,38.0,23.0,24.0,44.0,55.0,43.0,71.0,43.0,113.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2099,32
01055,19796,19767,16102,4230,102268,0.19357,0.19328599999999999,0.157449,0.041362,17509,17.5,44903,-0.31004,37.5,62.5,27.0,46.0,18.0,29.0,18.0,25.0,34.0,29.0,20.0,23.0,55.0,75.0,166.0,179.0,259.0,306.0,330.0,314.0,212.0,170.0,261.0,174.0,245.0,136.0,154.0,163.0,173.0,132.0,197.0,295.0,257.0,361.0,407.0,510.0,476.0,892.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,7.0,3.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,7220,70
01057,3545,2322,1901,335,16302,0.21745799999999998,0.14243699999999998,0.11661099999999999,0.02055,3801,23.5,39254,-0.62246,80.2,19.8,1.0,4.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,27.0,14.0,9.0,8.0,17.0,38.0,22.0,35.0,44.0,39.0,39.0,22.0,33.0,47.0,20.0,38.0,20.0,26.0,28.0,36.0,31.0,53.0,61.0,91.0,98.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1061,16
01059,5374,2605,1373,5606,31362,0.171354,0.083062,0.043779000000000005,0.178751,5939,19.2,39388,-0.5786899999999999,70.4,29.6,8.0,3.0,9.0,19.0,65.0,114.0,119.0,108.0,111.0,67.0,103.0,56.0,51.0,64.0,43.0,84.0,61.0,113.0,87.0,49.0,103.0,102.0,64.0,70.0,55.0,39.0,65.0,52.0,90.0,75.0,127.0,71.0,73.0,100.0,106.0,159.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2694,34
01061,5420,3376,2445,1095,26271,0.20631100000000002,0.12850699999999998,0.093068,0.041681,5537,21.3,37823,-0.47685,89.6,10.4,0.0,0.0,4.0,3.0,4.0,4.0,7.0,11.0,9.0,5.0,0.0,8.0,5.0,23.0,19.0,46.0,47.0,44.0,43.0,20.0,96.0,31.0,41.0,27.0,69.0,63.0,98.0,61.0,37.0,78.0,70.0,53.0,58.0,71.0,66.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1316,11
01063,1890,6611,6482,139,8111,0.233017,0.815066,0.799162,0.017137,2459,30.1,28524,-0.76079,100.0,0.0,3.0,9.0,15.0,18.0,14.0,15.0,10.0,11.0,5.0,3.0,25.0,31.0,10.0,25.0,12.0,21.0,11.0,13.0,8.0,8.0,13.0,10.0,4.0,2.0,5.0,3.0,5.0,17.0,8.0,6.0,10.0,10.0,14.0,22.0,30.0,40.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,473,18
01065,2885,8688,8500,209,14651,0.196915,0.592997,0.5801649999999999,0.014265,3705,25.6,34724,-0.65879,89.2,10.8,3.0,8.0,13.0,17.0,14.0,12.0,18.0,42.0,35.0,42.0,31.0,27.0,18.0,40.0,40.0,45.0,26.0,33.0,34.0,24.0,21.0,22.0,12.0,24.0,21.0,30.0,20.0,30.0,38.0,28.0,30.0,26.0,44.0,42.0,60.0,54.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1028,32
01067,4031,4890,4454,463,17205,0.234292,0.28422,0.258878,0.026911,3037,17.9,46027,-0.5819,87.8,12.2,2.0,8.0,8.0,4.0,3.0,2.0,12.0,13.0,23.0,13.0,18.0,9.0,17.0,6.0,20.0,39.0,30.0,31.0,24.0,15.0,49.0,26.0,39.0,24.0,36.0,31.0,64.0,30.0,33.0,89.0,31.0,28.0,33.0,26.0,18.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,925,7
01069,19184,33010,28976,3631,105882,0.18118299999999998,0.311762,0.273663,0.034293000000000004,17032,16.5,47993,-0.40284000000000003,33.8,66.2,16.0,22.0,30.0,15.0,14.0,9.0,27.0,31.0,49.0,32.0,62.0,39.0,61.0,91.0,118.0,224.0,245.0,254.0,109.0,137.0,319.0,140.0,208.0,208.0,240.0,210.0,435.0,152.0,136.0,541.0,144.0,167.0,228.0,282.0,261.0,394.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,5674,43
01071,10591,4453,1803,1584,51626,0.20514899999999997,0.086255,0.034924000000000004,0.030682,10046,19.7,41929,-0.5052800000000001,77.0,23.0,14.0,8.0,14.0,10.0,4.0,8.0,6.0,6.0,9.0,11.0,28.0,23.0,44.0,65.0,166.0,131.0,89.0,164.0,192.0,139.0,91.0,64.0,55.0,45.0,90.0,76.0,111.0,132.0,164.0,174.0,195.0,145.0,215.0,197.0,319.0,635.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,3896,23
01073,107329,309057,286261,26873,658573,0.162972,0.469283,0.43466899999999997,0.040805,103604,16.1,55013,-0.18562,9.8,90.2,403.0,199.0,86.0,155.0,118.0,154.0,231.0,250.0,235.0,233.0,445.0,460.0,757.0,1468.0,1486.0,1962.0,1615.0,1462.0,1423.0,944.0,762.0,1251.0,968.0,893.0,869.0,751.0,951.0,791.0,881.0,991.0,1186.0,1405.0,1794.0,2448.0,2287.0,3688.0,9.0,6.0,10.0,8.0,15.0,12.0,13.0,15.0,14.0,3.0,12.0,8.0,8.0,19.0,18.0,13.0,17.0,25.0,18.0,19.0,23.0,14.0,6.0,5.0,27.0,14.0,3.0,8.0,10.0,5.0,7.0,19.0,58.0,30.0,9.0,19.0,36475,520
