fips,65yrs,minority,black,hispanic,population,perc_65yrs,perc_minority,perc_black,perc_hispanic,poverty,perc_poverty,income,risk_flu,perc_rural_pop,perc_urban_pop,case0,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16,case17,case18,case19,case20,case21,case22,case23,case24,case25,case26,case27,case28,case29,case30,case31,case32,case33,case34,case35,death0,death1,death2,death3,death4,death5,death6,death7,death8,death9,death10,death11,death12,death13,death14,death15,death16,death17,death18,death19,death20,death21,death22,death23,death24,death25,death26,death27,death28,death29,death30,death31,death32,death33,death34,death35,total_case,total_death
01001,8924,13262,11237,1671,55869,0.15973099999999998,0.237377,0.201131,0.029908999999999998,7587,13.8,59338,-0.41025,42.0,58.0,12.0,7.0,6.0,11.0,11.0,16.0,45.0,48.0,60.0,48.0,97.0,77.0,67.0,96.0,107.0,142.0,103.0,111.0,111.0,77.0,66.0,106.0,53.0,74.0,124.0,83.0,63.0,80.0,84.0,70.0,113.0,118.0,149.0,162.0,138.0,244.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,6.0,3.0,3.0,0.0,3005,42
01003,46830,28036,19593,10534,223234,0.20978000000000002,0.12559,0.087769,0.047188,21069,9.8,57588,-0.3479,42.3,57.7,34.0,36.0,40.0,45.0,30.0,34.0,42.0,19.0,12.0,29.0,46.0,51.0,155.0,288.0,419.0,645.0,750.0,519.0,381.0,348.0,209.0,370.0,182.0,231.0,114.0,436.0,569.0,142.0,174.0,292.0,313.0,271.0,370.0,535.0,602.0,893.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,6.0,1.0,6.0,1.0,3.0,12.0,2.0,2.0,2.0,12.0,1.0,0.0,14.0,40.0,9728,138
01005,4861,12552,11906,1117,24686,0.196913,0.508466,0.48229799999999995,0.045248000000000003,6788,30.9,34382,-0.53647,67.8,32.2,3.0,7.0,8.0,16.0,9.0,14.0,24.0,27.0,47.0,41.0,37.0,39.0,45.0,39.0,53.0,88.0,66.0,48.0,21.0,40.0,40.0,40.0,19.0,18.0,42.0,51.0,35.0,23.0,38.0,52.0,29.0,36.0,28.0,34.0,16.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1223,29
01007,3733,5203,4763,623,22394,0.166696,0.232339,0.212691,0.027819999999999998,4400,21.8,46064,-0.53313,68.4,31.6,4.0,9.0,13.0,8.0,7.0,4.0,7.0,7.0,15.0,5.0,27.0,20.0,38.0,32.0,33.0,41.0,54.0,49.0,73.0,35.0,40.0,29.0,26.0,20.0,27.0,27.0,33.0,51.0,49.0,56.0,38.0,57.0,44.0,58.0,143.0,104.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,21.0,1293,38
01009,10814,2414,978,5582,57826,0.18700899999999998,0.041746,0.016913,0.09653099999999999,7527,13.2,50412,-0.49406000000000005,90.0,10.0,12.0,3.0,9.0,12.0,6.0,5.0,2.0,3.0,13.0,11.0,38.0,37.0,41.0,48.0,98.0,149.0,167.0,166.0,125.0,69.0,135.0,152.0,98.0,73.0,92.0,59.0,36.0,61.0,117.0,110.0,162.0,193.0,216.0,217.0,187.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,7.0,2.0,0.0,1.0,8.0,2.0,4.0,6.0,3299,46
01011,1711,7412,7097,864,10101,0.169389,0.733789,0.702604,0.085536,3610,42.5,29267,-0.6846300000000001,51.4,48.6,2.0,2.0,5.0,3.0,2.0,7.0,14.0,68.0,102.0,26.0,69.0,24.0,22.0,17.0,10.0,17.0,21.0,30.0,27.0,32.0,39.0,16.0,14.0,9.0,8.0,19.0,6.0,13.0,9.0,15.0,5.0,11.0,11.0,13.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,713,20
01013,4049,9321,8747,289,19448,0.208196,0.479278,0.449763,0.01486,4731,24.5,37365,-0.59753,71.2,28.8,1.0,5.0,8.0,14.0,65.0,82.0,90.0,64.0,74.0,44.0,87.0,33.0,28.0,29.0,22.0,30.0,42.0,38.0,15.0,28.0,16.0,40.0,24.0,9.0,9.0,10.0,13.0,34.0,39.0,16.0,14.0,28.0,24.0,57.0,33.0,60.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1236,42
01015,20547,28283,24213,4614,113605,0.180864,0.248959,0.213133,0.040614,21719,19.5,45400,-0.36424,33.7,66.3,23.0,36.0,12.0,19.0,12.0,28.0,6.0,9.0,16.0,22.0,18.0,10.0,34.0,118.0,157.0,252.0,314.0,455.0,280.0,179.0,260.0,240.0,297.0,226.0,266.0,196.0,162.0,182.0,242.0,516.0,296.0,296.0,291.0,454.0,377.0,726.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,4.0,6.0,2.0,0.0,8.0,5.0,0.0,5.0,10.0,2.0,4.0,2.0,10.0,36.0,6.0,8.0,7096,127
01017,6715,14284,13365,871,33254,0.201931,0.42954200000000003,0.401907,0.026192,6181,18.7,39917,-0.58481,49.1,50.9,91.0,98.0,53.0,37.0,17.0,27.0,14.0,6.0,26.0,24.0,81.0,46.0,40.0,74.0,60.0,68.0,58.0,49.0,37.0,21.0,43.0,54.0,31.0,30.0,36.0,36.0,39.0,39.0,26.0,86.0,45.0,93.0,71.0,113.0,99.0,133.0,6.0,2.0,3.0,6.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,1906,54
01019,6164,1787,1073,449,26196,0.235303,0.068217,0.04096,0.01714,4180,16.3,42132,-0.55316,85.7,14.3,5.0,2.0,5.0,2.0,2.0,7.0,3.0,6.0,5.0,5.0,10.0,5.0,12.0,32.0,27.0,43.0,38.0,45.0,47.0,36.0,32.0,33.0,47.0,53.0,47.0,47.0,29.0,32.0,49.0,26.0,50.0,59.0,57.0,81.0,43.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1093,24
01021,7600,5751,4596,3636,44428,0.17106300000000002,0.129445,0.103448,0.08184,7542,17.3,47547,-0.55456,86.7,13.3,15.0,16.0,10.0,11.0,4.0,14.0,11.0,9.0,14.0,11.0,23.0,27.0,35.0,51.0,86.0,132.0,134.0,128.0,103.0,72.0,92.0,169.0,111.0,106.0,90.0,105.0,66.0,74.0,70.0,96.0,66.0,58.0,59.0,76.0,90.0,138.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,13.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,2391,45
01023,2969,5398,5255,128,12589,0.235841,0.428787,0.41742799999999997,0.010168,2806,22.1,39907,-0.5182399999999999,100.0,0.0,5.0,6.0,5.0,9.0,25.0,12.0,22.0,55.0,11.0,4.0,20.0,9.0,6.0,7.0,21.0,21.0,21.0,17.0,9.0,12.0,16.0,10.0,6.0,6.0,4.0,10.0,15.0,10.0,10.0,7.0,4.0,12.0,3.0,6.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,440,20
01025,4843,11104,10635,310,23622,0.205021,0.47007,0.450216,0.013123,5381,22.8,40741,-0.57728,76.0,24.0,7.0,8.0,6.0,3.0,13.0,14.0,23.0,23.0,45.0,13.0,31.0,26.0,36.0,16.0,44.0,68.0,59.0,60.0,184.0,180.0,65.0,53.0,29.0,21.0,11.0,46.0,60.0,71.0,43.0,90.0,55.0,40.0,52.0,52.0,37.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1671,22
01027,2785,2220,1824,435,13235,0.210427,0.167737,0.13781600000000002,0.032867,2285,17.6,39201,-0.70027,100.0,0.0,9.0,3.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,30.0,16.0,31.0,50.0,48.0,43.0,49.0,20.0,43.0,48.0,59.0,61.0,49.0,27.0,37.0,57.0,42.0,31.0,41.0,30.0,38.0,36.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,1.0,3.0,963,27
01029,3008,734,424,387,14910,0.201744,0.049229,0.028437,0.025956,2356,16.0,46495,-0.5957399999999999,100.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,11.0,8.0,34.0,16.0,20.0,14.0,12.0,56.0,28.0,49.0,64.0,29.0,28.0,36.0,39.0,52.0,48.0,23.0,35.0,33.0,81.0,32.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,821,14
01031,9031,12673,9216,4171,52342,0.17253800000000002,0.242119,0.176073,0.079687,7053,13.8,55122,-0.48991999999999997,47.2,52.8,8.0,14.0,37.0,29.0,30.0,25.0,18.0,32.0,38.0,14.0,36.0,27.0,27.0,39.0,50.0,108.0,113.0,72.0,81.0,48.0,144.0,78.0,58.0,78.0,63.0,83.0,104.0,75.0,97.0,141.0,108.0,109.0,171.0,126.0,173.0,183.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,8.0,2657,23
01033,11065,10801,8959,1789,55241,0.200304,0.195525,0.16218,0.032385000000000004,7459,13.8,49055,-0.45481000000000005,43.9,56.1,6.0,7.0,6.0,7.0,15.0,25.0,27.0,33.0,56.0,32.0,42.0,42.0,52.0,53.0,112.0,223.0,148.0,203.0,110.0,85.0,74.0,89.0,51.0,35.0,64.0,62.0,68.0,86.0,77.0,129.0,284.0,156.0,248.0,216.0,196.0,397.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,5.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,3.0,1.0,7.0,3536,49
01035,2832,5822,5560,277,12067,0.23469,0.48247299999999993,0.460761,0.022955,2979,24.4,32613,-0.67792,80.9,19.1,1.0,2.0,6.0,0.0,0.0,4.0,6.0,5.0,16.0,11.0,47.0,42.0,26.0,45.0,21.0,52.0,52.0,45.0,34.0,16.0,27.0,23.0,12.0,15.0,12.0,12.0,5.0,9.0,8.0,8.0,16.0,27.0,34.0,29.0,16.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,738,15
