"Sample ID","Input","Input Type","Protocol Name","Output","Output Type"
"MBSMPL0020-6-1005","MBSMPL0020-6-1005","sample from organism","dna extraction","ERS1213674 (Extract)","DNA extract"
"MBSMPL0020-6-1006","ERS1213675 (Assay)","Assay","data transformation","ERS1213675 (OTU)","data item"
"MBSMPL0020-6-1006","ERS1213675 (Extract)","DNA extract","dna sequencing","ERS1213675 (Assay)","Assay"
"MBSMPL0020-6-1006","MBSMPL0020-6-1006","sample from organism","dna extraction","ERS1213675 (Extract)","DNA extract"
"MBSMPL0020-6-1007","ERS1213676 (Assay)","Assay","data transformation","ERS1213676 (OTU)","data item"
"MBSMPL0020-6-1007","ERS1213676 (Extract)","DNA extract","dna sequencing","ERS1213676 (Assay)","Assay"
"MBSMPL0020-6-1007","MBSMPL0020-6-1007","sample from organism","dna extraction","ERS1213676 (Extract)","DNA extract"
"MBSMPL0020-6-1008","ERS1213677 (Assay)","Assay","data transformation","ERS1213677 (OTU)","data item"
"MBSMPL0020-6-1008","ERS1213677 (Extract)","DNA extract","dna sequencing","ERS1213677 (Assay)","Assay"
"MBSMPL0020-6-1008","MBSMPL0020-6-1008","sample from organism","dna extraction","ERS1213677 (Extract)","DNA extract"
"MBSMPL0020-6-1009","ERS1213678 (Assay)","Assay","data transformation","ERS1213678 (OTU)","data item"
"MBSMPL0020-6-1009","ERS1213678 (Extract)","DNA extract","dna sequencing","ERS1213678 (Assay)","Assay"
"MBSMPL0020-6-1009","MBSMPL0020-6-1009","sample from organism","dna extraction","ERS1213678 (Extract)","DNA extract"
"MBSMPL0020-6-101","ERS1212578 (Assay)","Assay","data transformation","ERS1212578 (OTU)","data item"
"MBSMPL0020-6-101","ERS1212578 (Extract)","DNA extract","dna sequencing","ERS1212578 (Assay)","Assay"
"MBSMPL0020-6-101","MBSMPL0020-6-101","sample from organism","dna extraction","ERS1212578 (Extract)","DNA extract"
"MBSMPL0020-6-1010","ERS1213679 (Assay)","Assay","data transformation","ERS1213679 (OTU)","data item"
"MBSMPL0020-6-1010","ERS1213679 (Extract)","DNA extract","dna sequencing","ERS1213679 (Assay)","Assay"
"MBSMPL0020-6-1010","MBSMPL0020-6-1010","sample from organism","dna extraction","ERS1213679 (Extract)","DNA extract"
"MBSMPL0020-6-1011","ERS1213680 (Assay)","Assay","data transformation","ERS1213680 (OTU)","data item"
"MBSMPL0020-6-1011","ERS1213680 (Extract)","DNA extract","dna sequencing","ERS1213680 (Assay)","Assay"
"MBSMPL0020-6-1011","MBSMPL0020-6-1011","sample from organism","dna extraction","ERS1213680 (Extract)","DNA extract"
"MBSMPL0020-6-1012","ERS1213681 (Assay)","Assay","data transformation","ERS1213681 (OTU)","data item"
"MBSMPL0020-6-1012","ERS1213681 (Extract)","DNA extract","dna sequencing","ERS1213681 (Assay)","Assay"
"MBSMPL0020-6-1012","MBSMPL0020-6-1012","sample from organism","dna extraction","ERS1213681 (Extract)","DNA extract"
"MBSMPL0020-6-1013","ERS1213682 (Assay)","Assay","data transformation","ERS1213682 (OTU)","data item"
"MBSMPL0020-6-1013","ERS1213682 (Extract)","DNA extract","dna sequencing","ERS1213682 (Assay)","Assay"
"MBSMPL0020-6-1013","MBSMPL0020-6-1013","sample from organism","dna extraction","ERS1213682 (Extract)","DNA extract"
"MBSMPL0020-6-1014","ERS1213683 (Assay)","Assay","data transformation","ERS1213683 (OTU)","data item"
"MBSMPL0020-6-1014","ERS1213683 (Extract)","DNA extract","dna sequencing","ERS1213683 (Assay)","Assay"
"MBSMPL0020-6-1014","MBSMPL0020-6-1014","sample from organism","dna extraction","ERS1213683 (Extract)","DNA extract"
"MBSMPL0020-6-1015","ERS1213684 (Assay)","Assay","data transformation","ERS1213684 (OTU)","data item"
"MBSMPL0020-6-1015","ERS1213684 (Extract)","DNA extract","dna sequencing","ERS1213684 (Assay)","Assay"
"MBSMPL0020-6-1015","MBSMPL0020-6-1015","sample from organism","dna extraction","ERS1213684 (Extract)","DNA extract"
"MBSMPL0020-6-1016","ERS1213685 (Assay)","Assay","data transformation","ERS1213685 (OTU)","data item"
"MBSMPL0020-6-1016","ERS1213685 (Extract)","DNA extract","dna sequencing","ERS1213685 (Assay)","Assay"
"MBSMPL0020-6-1016","MBSMPL0020-6-1016","sample from organism","dna extraction","ERS1213685 (Extract)","DNA extract"
"MBSMPL0020-6-1017","ERS1213686 (Assay)","Assay","data transformation","ERS1213686 (OTU)","data item"
"MBSMPL0020-6-1017","ERS1213686 (Extract)","DNA extract","dna sequencing","ERS1213686 (Assay)","Assay"
"MBSMPL0020-6-1017","MBSMPL0020-6-1017","sample from organism","dna extraction","ERS1213686 (Extract)","DNA extract"
"MBSMPL0020-6-1018","ERS1213687 (Assay)","Assay","data transformation","ERS1213687 (OTU)","data item"
"MBSMPL0020-6-1018","ERS1213687 (Extract)","DNA extract","dna sequencing","ERS1213687 (Assay)","Assay"
"MBSMPL0020-6-1018","MBSMPL0020-6-1018","sample from organism","dna extraction","ERS1213687 (Extract)","DNA extract"
"MBSMPL0020-6-1019","ERS1213688 (Assay)","Assay","data transformation","ERS1213688 (OTU)","data item"
"MBSMPL0020-6-1019","ERS1213688 (Extract)","DNA extract","dna sequencing","ERS1213688 (Assay)","Assay"
"MBSMPL0020-6-1019","MBSMPL0020-6-1019","sample from organism","dna extraction","ERS1213688 (Extract)","DNA extract"
"MBSMPL0020-6-102","ERS1216169 (Assay)","Assay","data transformation","ERS1216169 (OTU)","data item"
"MBSMPL0020-6-102","ERS1216169 (Extract)","DNA extract","dna sequencing","ERS1216169 (Assay)","Assay"
"MBSMPL0020-6-102","MBSMPL0020-6-102","sample from organism","dna extraction","ERS1216169 (Extract)","DNA extract"
"MBSMPL0020-6-1020","ERS1213689 (Assay)","Assay","data transformation","ERS1213689 (OTU)","data item"
"MBSMPL0020-6-1020","ERS1213689 (Extract)","DNA extract","dna sequencing","ERS1213689 (Assay)","Assay"
"MBSMPL0020-6-1020","MBSMPL0020-6-1020","sample from organism","dna extraction","ERS1213689 (Extract)","DNA extract"
"MBSMPL0020-6-1021","ERS1213690 (Assay)","Assay","data transformation","ERS1213690 (OTU)","data item"
"MBSMPL0020-6-1021","ERS1213690 (Extract)","DNA extract","dna sequencing","ERS1213690 (Assay)","Assay"
"MBSMPL0020-6-1021","MBSMPL0020-6-1021","sample from organism","dna extraction","ERS1213690 (Extract)","DNA extract"
"MBSMPL0020-6-1022","ERS1213691 (Assay)","Assay","data transformation","ERS1213691 (OTU)","data item"
"MBSMPL0020-6-1022","ERS1213691 (Extract)","DNA extract","dna sequencing","ERS1213691 (Assay)","Assay"
"MBSMPL0020-6-1022","MBSMPL0020-6-1022","sample from organism","dna extraction","ERS1213691 (Extract)","DNA extract"
"MBSMPL0020-6-1023","ERS1213692 (Assay)","Assay","data transformation","ERS1213692 (OTU)","data item"
"MBSMPL0020-6-1023","ERS1213692 (Extract)","DNA extract","dna sequencing","ERS1213692 (Assay)","Assay"
"MBSMPL0020-6-1023","MBSMPL0020-6-1023","sample from organism","dna extraction","ERS1213692 (Extract)","DNA extract"
"MBSMPL0020-6-1024","ERS1213693 (Assay)","Assay","data transformation","ERS1213693 (OTU)","data item"
"MBSMPL0020-6-1024","ERS1213693 (Extract)","DNA extract","dna sequencing","ERS1213693 (Assay)","Assay"
"MBSMPL0020-6-1024","MBSMPL0020-6-1024","sample from organism","dna extraction","ERS1213693 (Extract)","DNA extract"
"MBSMPL0020-6-1025","ERS1213694 (Assay)","Assay","data transformation","ERS1213694 (OTU)","data item"
"MBSMPL0020-6-1025","ERS1213694 (Extract)","DNA extract","dna sequencing","ERS1213694 (Assay)","Assay"
"MBSMPL0020-6-1025","MBSMPL0020-6-1025","sample from organism","dna extraction","ERS1213694 (Extract)","DNA extract"
"MBSMPL0020-6-1026","ERS1213695 (Assay)","Assay","data transformation","ERS1213695 (OTU)","data item"
"MBSMPL0020-6-1026","ERS1213695 (Extract)","DNA extract","dna sequencing","ERS1213695 (Assay)","Assay"
"MBSMPL0020-6-1026","MBSMPL0020-6-1026","sample from organism","dna extraction","ERS1213695 (Extract)","DNA extract"
"MBSMPL0020-6-1027","ERS1213696 (Assay)","Assay","data transformation","ERS1213696 (OTU)","data item"
"MBSMPL0020-6-1027","ERS1213696 (Extract)","DNA extract","dna sequencing","ERS1213696 (Assay)","Assay"
"MBSMPL0020-6-1027","MBSMPL0020-6-1027","sample from organism","dna extraction","ERS1213696 (Extract)","DNA extract"
"MBSMPL0020-6-1028","ERS1213697 (Assay)","Assay","data transformation","ERS1213697 (OTU)","data item"
"MBSMPL0020-6-1028","ERS1213697 (Extract)","DNA extract","dna sequencing","ERS1213697 (Assay)","Assay"
"MBSMPL0020-6-1028","MBSMPL0020-6-1028","sample from organism","dna extraction","ERS1213697 (Extract)","DNA extract"
"MBSMPL0020-6-1029","ERS1213698 (Assay)","Assay","data transformation","ERS1213698 (OTU)","data item"
"MBSMPL0020-6-1029","ERS1213698 (Extract)","DNA extract","dna sequencing","ERS1213698 (Assay)","Assay"
"MBSMPL0020-6-1029","MBSMPL0020-6-1029","sample from organism","dna extraction","ERS1213698 (Extract)","DNA extract"
"MBSMPL0020-6-103","ERS1216170 (Assay)","Assay","data transformation","ERS1216170 (OTU)","data item"
"MBSMPL0020-6-103","ERS1216170 (Extract)","DNA extract","dna sequencing","ERS1216170 (Assay)","Assay"
"MBSMPL0020-6-103","MBSMPL0020-6-103","sample from organism","dna extraction","ERS1216170 (Extract)","DNA extract"
"MBSMPL0020-6-1030","ERS1213699 (Assay)","Assay","data transformation","ERS1213699 (OTU)","data item"
"MBSMPL0020-6-1030","ERS1213699 (Extract)","DNA extract","dna sequencing","ERS1213699 (Assay)","Assay"
"MBSMPL0020-6-1030","MBSMPL0020-6-1030","sample from organism","dna extraction","ERS1213699 (Extract)","DNA extract"
"MBSMPL0020-6-1031","ERS1213700 (Assay)","Assay","data transformation","ERS1213700 (OTU)","data item"
"MBSMPL0020-6-1031","ERS1213700 (Extract)","DNA extract","dna sequencing","ERS1213700 (Assay)","Assay"
"MBSMPL0020-6-1031","MBSMPL0020-6-1031","sample from organism","dna extraction","ERS1213700 (Extract)","DNA extract"
"MBSMPL0020-6-1032","ERS1213701 (Assay)","Assay","data transformation","ERS1213701 (OTU)","data item"
"MBSMPL0020-6-1032","ERS1213701 (Extract)","DNA extract","dna sequencing","ERS1213701 (Assay)","Assay"
"MBSMPL0020-6-1032","MBSMPL0020-6-1032","sample from organism","dna extraction","ERS1213701 (Extract)","DNA extract"
"MBSMPL0020-6-1033","ERS1213702 (Assay)","Assay","data transformation","ERS1213702 (OTU)","data item"
"MBSMPL0020-6-1033","ERS1213702 (Extract)","DNA extract","dna sequencing","ERS1213702 (Assay)","Assay"
"MBSMPL0020-6-1033","MBSMPL0020-6-1033","sample from organism","dna extraction","ERS1213702 (Extract)","DNA extract"
"MBSMPL0020-6-1034","ERS1213703 (Assay)","Assay","data transformation","ERS1213703 (OTU)","data item"
"MBSMPL0020-6-1034","ERS1213703 (Extract)","DNA extract","dna sequencing","ERS1213703 (Assay)","Assay"
"MBSMPL0020-6-1034","MBSMPL0020-6-1034","sample from organism","dna extraction","ERS1213703 (Extract)","DNA extract"
"MBSMPL0020-6-1035","ERS1213704 (Assay)","Assay","data transformation","ERS1213704 (OTU)","data item"
"MBSMPL0020-6-1035","ERS1213704 (Extract)","DNA extract","dna sequencing","ERS1213704 (Assay)","Assay"
"MBSMPL0020-6-1035","MBSMPL0020-6-1035","sample from organism","dna extraction","ERS1213704 (Extract)","DNA extract"
"MBSMPL0020-6-1036","ERS1213705 (Assay)","Assay","data transformation","ERS1213705 (OTU)","data item"
"MBSMPL0020-6-1036","ERS1213705 (Extract)","DNA extract","dna sequencing","ERS1213705 (Assay)","Assay"
"MBSMPL0020-6-1036","MBSMPL0020-6-1036","sample from organism","dna extraction","ERS1213705 (Extract)","DNA extract"
"MBSMPL0020-6-1037","ERS1213706 (Assay)","Assay","data transformation","ERS1213706 (OTU)","data item"
"MBSMPL0020-6-1037","ERS1213706 (Extract)","DNA extract","dna sequencing","ERS1213706 (Assay)","Assay"
"MBSMPL0020-6-1037","MBSMPL0020-6-1037","sample from organism","dna extraction","ERS1213706 (Extract)","DNA extract"
"MBSMPL0020-6-1038","ERS1213707 (Assay)","Assay","data transformation","ERS1213707 (OTU)","data item"
"MBSMPL0020-6-1038","ERS1213707 (Extract)","DNA extract","dna sequencing","ERS1213707 (Assay)","Assay"
"MBSMPL0020-6-1038","MBSMPL0020-6-1038","sample from organism","dna extraction","ERS1213707 (Extract)","DNA extract"
"MBSMPL0020-6-1039","ERS1213708 (Assay)","Assay","data transformation","ERS1213708 (OTU)","data item"
"MBSMPL0020-6-1039","ERS1213708 (Extract)","DNA extract","dna sequencing","ERS1213708 (Assay)","Assay"
"MBSMPL0020-6-1039","MBSMPL0020-6-1039","sample from organism","dna extraction","ERS1213708 (Extract)","DNA extract"
"MBSMPL0020-6-104","ERS1216171 (Assay)","Assay","data transformation","ERS1216171 (OTU)","data item"
"MBSMPL0020-6-104","ERS1216171 (Extract)","DNA extract","dna sequencing","ERS1216171 (Assay)","Assay"
"MBSMPL0020-6-104","MBSMPL0020-6-104","sample from organism","dna extraction","ERS1216171 (Extract)","DNA extract"
"MBSMPL0020-6-1040","ERS1213709 (Assay)","Assay","data transformation","ERS1213709 (OTU)","data item"
"MBSMPL0020-6-1040","ERS1213709 (Extract)","DNA extract","dna sequencing","ERS1213709 (Assay)","Assay"
"MBSMPL0020-6-1040","MBSMPL0020-6-1040","sample from organism","dna extraction","ERS1213709 (Extract)","DNA extract"
"MBSMPL0020-6-1041","ERS1213710 (Assay)","Assay","data transformation","ERS1213710 (OTU)","data item"
"MBSMPL0020-6-1041","ERS1213710 (Extract)","DNA extract","dna sequencing","ERS1213710 (Assay)","Assay"
"MBSMPL0020-6-1041","MBSMPL0020-6-1041","sample from organism","dna extraction","ERS1213710 (Extract)","DNA extract"
"MBSMPL0020-6-1042","ERS1213711 (Assay)","Assay","data transformation","ERS1213711 (OTU)","data item"
"MBSMPL0020-6-1042","ERS1213711 (Extract)","DNA extract","dna sequencing","ERS1213711 (Assay)","Assay"
"MBSMPL0020-6-1042","MBSMPL0020-6-1042","sample from organism","dna extraction","ERS1213711 (Extract)","DNA extract"
"MBSMPL0020-6-1043","ERS1213712 (Assay)","Assay","data transformation","ERS1213712 (OTU)","data item"
"MBSMPL0020-6-1043","ERS1213712 (Extract)","DNA extract","dna sequencing","ERS1213712 (Assay)","Assay"
"MBSMPL0020-6-1043","MBSMPL0020-6-1043","sample from organism","dna extraction","ERS1213712 (Extract)","DNA extract"
"MBSMPL0020-6-1044","ERS1213713 (Assay)","Assay","data transformation","ERS1213713 (OTU)","data item"
"MBSMPL0020-6-1044","ERS1213713 (Extract)","DNA extract","dna sequencing","ERS1213713 (Assay)","Assay"
"MBSMPL0020-6-1044","MBSMPL0020-6-1044","sample from organism","dna extraction","ERS1213713 (Extract)","DNA extract"
"MBSMPL0020-6-1045","ERS1213714 (Assay)","Assay","data transformation","ERS1213714 (OTU)","data item"
"MBSMPL0020-6-1045","ERS1213714 (Extract)","DNA extract","dna sequencing","ERS1213714 (Assay)","Assay"
"MBSMPL0020-6-1045","MBSMPL0020-6-1045","sample from organism","dna extraction","ERS1213714 (Extract)","DNA extract"
"MBSMPL0020-6-1046","ERS1213715 (Assay)","Assay","data transformation","ERS1213715 (OTU)","data item"
"MBSMPL0020-6-1046","ERS1213715 (Extract)","DNA extract","dna sequencing","ERS1213715 (Assay)","Assay"
"MBSMPL0020-6-1046","MBSMPL0020-6-1046","sample from organism","dna extraction","ERS1213715 (Extract)","DNA extract"
"MBSMPL0020-6-1047","ERS1213716 (Assay)","Assay","data transformation","ERS1213716 (OTU)","data item"
"MBSMPL0020-6-1047","ERS1213716 (Extract)","DNA extract","dna sequencing","ERS1213716 (Assay)","Assay"
"MBSMPL0020-6-1047","MBSMPL0020-6-1047","sample from organism","dna extraction","ERS1213716 (Extract)","DNA extract"
"MBSMPL0020-6-1048","ERS1213717 (Assay)","Assay","data transformation","ERS1213717 (OTU)","data item"
"MBSMPL0020-6-1048","ERS1213717 (Extract)","DNA extract","dna sequencing","ERS1213717 (Assay)","Assay"
"MBSMPL0020-6-1048","MBSMPL0020-6-1048","sample from organism","dna extraction","ERS1213717 (Extract)","DNA extract"
"MBSMPL0020-6-1049","ERS1213718 (Assay)","Assay","data transformation","ERS1213718 (OTU)","data item"
"MBSMPL0020-6-1049","ERS1213718 (Extract)","DNA extract","dna sequencing","ERS1213718 (Assay)","Assay"
"MBSMPL0020-6-1049","MBSMPL0020-6-1049","sample from organism","dna extraction","ERS1213718 (Extract)","DNA extract"
"MBSMPL0020-6-105","ERS1215822 (Assay)","Assay","data transformation","ERS1215822 (OTU)","data item"
"MBSMPL0020-6-105","ERS1215822 (Extract)","DNA extract","dna sequencing","ERS1215822 (Assay)","Assay"
"MBSMPL0020-6-105","MBSMPL0020-6-105","sample from organism","dna extraction","ERS1215822 (Extract)","DNA extract"
"MBSMPL0020-6-1050","ERS1213719 (Assay)","Assay","data transformation","ERS1213719 (OTU)","data item"
"MBSMPL0020-6-1050","ERS1213719 (Extract)","DNA extract","dna sequencing","ERS1213719 (Assay)","Assay"
"MBSMPL0020-6-1050","MBSMPL0020-6-1050","sample from organism","dna extraction","ERS1213719 (Extract)","DNA extract"
"MBSMPL0020-6-1051","ERS1213720 (Assay)","Assay","data transformation","ERS1213720 (OTU)","data item"
"MBSMPL0020-6-1051","ERS1213720 (Extract)","DNA extract","dna sequencing","ERS1213720 (Assay)","Assay"
"MBSMPL0020-6-1051","MBSMPL0020-6-1051","sample from organism","dna extraction","ERS1213720 (Extract)","DNA extract"
"MBSMPL0020-6-1052","ERS1213721 (Assay)","Assay","data transformation","ERS1213721 (OTU)","data item"
"MBSMPL0020-6-1052","ERS1213721 (Extract)","DNA extract","dna sequencing","ERS1213721 (Assay)","Assay"
"MBSMPL0020-6-1052","MBSMPL0020-6-1052","sample from organism","dna extraction","ERS1213721 (Extract)","DNA extract"
"MBSMPL0020-6-1053","ERS1213722 (Assay)","Assay","data transformation","ERS1213722 (OTU)","data item"
"MBSMPL0020-6-1053","ERS1213722 (Extract)","DNA extract","dna sequencing","ERS1213722 (Assay)","Assay"
"MBSMPL0020-6-1053","MBSMPL0020-6-1053","sample from organism","dna extraction","ERS1213722 (Extract)","DNA extract"
"MBSMPL0020-6-1054","ERS1213723 (Assay)","Assay","data transformation","ERS1213723 (OTU)","data item"
"MBSMPL0020-6-1054","ERS1213723 (Extract)","DNA extract","dna sequencing","ERS1213723 (Assay)","Assay"
"MBSMPL0020-6-1054","MBSMPL0020-6-1054","sample from organism","dna extraction","ERS1213723 (Extract)","DNA extract"
"MBSMPL0020-6-1055","ERS1213724 (Assay)","Assay","data transformation","ERS1213724 (OTU)","data item"
"MBSMPL0020-6-1055","ERS1213724 (Extract)","DNA extract","dna sequencing","ERS1213724 (Assay)","Assay"
"MBSMPL0020-6-1055","MBSMPL0020-6-1055","sample from organism","dna extraction","ERS1213724 (Extract)","DNA extract"
"MBSMPL0020-6-1056","ERS1213725 (Assay)","Assay","data transformation","ERS1213725 (OTU)","data item"
"MBSMPL0020-6-1056","ERS1213725 (Extract)","DNA extract","dna sequencing","ERS1213725 (Assay)","Assay"
"MBSMPL0020-6-1056","MBSMPL0020-6-1056","sample from organism","dna extraction","ERS1213725 (Extract)","DNA extract"
"MBSMPL0020-6-1057","ERS1213726 (Assay)","Assay","data transformation","ERS1213726 (OTU)","data item"
"MBSMPL0020-6-1057","ERS1213726 (Extract)","DNA extract","dna sequencing","ERS1213726 (Assay)","Assay"
"MBSMPL0020-6-1057","MBSMPL0020-6-1057","sample from organism","dna extraction","ERS1213726 (Extract)","DNA extract"
"MBSMPL0020-6-1058","ERS1213727 (Assay)","Assay","data transformation","ERS1213727 (OTU)","data item"
"MBSMPL0020-6-1058","ERS1213727 (Extract)","DNA extract","dna sequencing","ERS1213727 (Assay)","Assay"
"MBSMPL0020-6-1058","MBSMPL0020-6-1058","sample from organism","dna extraction","ERS1213727 (Extract)","DNA extract"
"MBSMPL0020-6-1059","ERS1213728 (Assay)","Assay","data transformation","ERS1213728 (OTU)","data item"
"MBSMPL0020-6-1059","ERS1213728 (Extract)","DNA extract","dna sequencing","ERS1213728 (Assay)","Assay"
"MBSMPL0020-6-1059","MBSMPL0020-6-1059","sample from organism","dna extraction","ERS1213728 (Extract)","DNA extract"
"MBSMPL0020-6-106","ERS1215823 (Assay)","Assay","data transformation","ERS1215823 (OTU)","data item"
"MBSMPL0020-6-106","ERS1215823 (Extract)","DNA extract","dna sequencing","ERS1215823 (Assay)","Assay"
"MBSMPL0020-6-106","MBSMPL0020-6-106","sample from organism","dna extraction","ERS1215823 (Extract)","DNA extract"
"MBSMPL0020-6-1060","ERS1213729 (Assay)","Assay","data transformation","ERS1213729 (OTU)","data item"
"MBSMPL0020-6-1060","ERS1213729 (Extract)","DNA extract","dna sequencing","ERS1213729 (Assay)","Assay"
"MBSMPL0020-6-1060","MBSMPL0020-6-1060","sample from organism","dna extraction","ERS1213729 (Extract)","DNA extract"
"MBSMPL0020-6-1061","ERS1213730 (Assay)","Assay","data transformation","ERS1213730 (OTU)","data item"
"MBSMPL0020-6-1061","ERS1213730 (Extract)","DNA extract","dna sequencing","ERS1213730 (Assay)","Assay"
"MBSMPL0020-6-1061","MBSMPL0020-6-1061","sample from organism","dna extraction","ERS1213730 (Extract)","DNA extract"
"MBSMPL0020-6-1062","ERS1213731 (Assay)","Assay","data transformation","ERS1213731 (OTU)","data item"
"MBSMPL0020-6-1062","ERS1213731 (Extract)","DNA extract","dna sequencing","ERS1213731 (Assay)","Assay"
"MBSMPL0020-6-1062","MBSMPL0020-6-1062","sample from organism","dna extraction","ERS1213731 (Extract)","DNA extract"
"MBSMPL0020-6-1063","ERS1213732 (Assay)","Assay","data transformation","ERS1213732 (OTU)","data item"
"MBSMPL0020-6-1063","ERS1213732 (Extract)","DNA extract","dna sequencing","ERS1213732 (Assay)","Assay"
"MBSMPL0020-6-1063","MBSMPL0020-6-1063","sample from organism","dna extraction","ERS1213732 (Extract)","DNA extract"
"MBSMPL0020-6-1064","ERS1213733 (Assay)","Assay","data transformation","ERS1213733 (OTU)","data item"
"MBSMPL0020-6-1064","ERS1213733 (Extract)","DNA extract","dna sequencing","ERS1213733 (Assay)","Assay"
"MBSMPL0020-6-1064","MBSMPL0020-6-1064","sample from organism","dna extraction","ERS1213733 (Extract)","DNA extract"
"MBSMPL0020-6-1065","ERS1213734 (Assay)","Assay","data transformation","ERS1213734 (OTU)","data item"
"MBSMPL0020-6-1065","ERS1213734 (Extract)","DNA extract","dna sequencing","ERS1213734 (Assay)","Assay"
"MBSMPL0020-6-1065","MBSMPL0020-6-1065","sample from organism","dna extraction","ERS1213734 (Extract)","DNA extract"
"MBSMPL0020-6-1066","ERS1213735 (Assay)","Assay","data transformation","ERS1213735 (OTU)","data item"
"MBSMPL0020-6-1066","ERS1213735 (Extract)","DNA extract","dna sequencing","ERS1213735 (Assay)","Assay"
"MBSMPL0020-6-1066","MBSMPL0020-6-1066","sample from organism","dna extraction","ERS1213735 (Extract)","DNA extract"
"MBSMPL0020-6-1067","ERS1213736 (Assay)","Assay","data transformation","ERS1213736 (OTU)","data item"
"MBSMPL0020-6-1067","ERS1213736 (Extract)","DNA extract","dna sequencing","ERS1213736 (Assay)","Assay"
"MBSMPL0020-6-1067","MBSMPL0020-6-1067","sample from organism","dna extraction","ERS1213736 (Extract)","DNA extract"
"MBSMPL0020-6-1068","ERS1213737 (Assay)","Assay","data transformation","ERS1213737 (OTU)","data item"
"MBSMPL0020-6-1068","ERS1213737 (Extract)","DNA extract","dna sequencing","ERS1213737 (Assay)","Assay"
"MBSMPL0020-6-1068","MBSMPL0020-6-1068","sample from organism","dna extraction","ERS1213737 (Extract)","DNA extract"
"MBSMPL0020-6-1069","ERS1213738 (Assay)","Assay","data transformation","ERS1213738 (OTU)","data item"
"MBSMPL0020-6-1069","ERS1213738 (Extract)","DNA extract","dna sequencing","ERS1213738 (Assay)","Assay"
"MBSMPL0020-6-1069","MBSMPL0020-6-1069","sample from organism","dna extraction","ERS1213738 (Extract)","DNA extract"
"MBSMPL0020-6-107","ERS1215824 (Assay)","Assay","data transformation","ERS1215824 (OTU)","data item"
"MBSMPL0020-6-107","ERS1215824 (Extract)","DNA extract","dna sequencing","ERS1215824 (Assay)","Assay"
"MBSMPL0020-6-107","MBSMPL0020-6-107","sample from organism","dna extraction","ERS1215824 (Extract)","DNA extract"
"MBSMPL0020-6-1070","ERS1213739 (Assay)","Assay","data transformation","ERS1213739 (OTU)","data item"
