"Sample ID","Input","Input Type","Protocol Name","Output","Output Type"
"MBSMPL0020-6-1","ERS1215588 (Assay)","Assay","data transformation","ERS1215588 (OTU)","data item"
"MBSMPL0020-6-1","ERS1215588 (Extract)","DNA extract","dna sequencing","ERS1215588 (Assay)","Assay"
"MBSMPL0020-6-1","MBSMPL0020-6-1","sample from organism","dna extraction","ERS1215588 (Extract)","DNA extract"
"MBSMPL0020-6-10","ERS1212519 (Assay)","Assay","data transformation","ERS1212519 (OTU)","data item"
"MBSMPL0020-6-10","ERS1212519 (Extract)","DNA extract","dna sequencing","ERS1212519 (Assay)","Assay"
"MBSMPL0020-6-10","MBSMPL0020-6-10","sample from organism","dna extraction","ERS1212519 (Extract)","DNA extract"
"MBSMPL0020-6-100","ERS1212577 (Assay)","Assay","data transformation","ERS1212577 (OTU)","data item"
"MBSMPL0020-6-100","ERS1212577 (Extract)","DNA extract","dna sequencing","ERS1212577 (Assay)","Assay"
"MBSMPL0020-6-100","MBSMPL0020-6-100","sample from organism","dna extraction","ERS1212577 (Extract)","DNA extract"
"MBSMPL0020-6-1000","ERS1213669 (Assay)","Assay","data transformation","ERS1213669 (OTU)","data item"
"MBSMPL0020-6-1000","ERS1213669 (Extract)","DNA extract","dna sequencing","ERS1213669 (Assay)","Assay"
"MBSMPL0020-6-1000","MBSMPL0020-6-1000","sample from organism","dna extraction","ERS1213669 (Extract)","DNA extract"
"MBSMPL0020-6-1001","ERS1213670 (Assay)","Assay","data transformation","ERS1213670 (OTU)","data item"
"MBSMPL0020-6-1001","ERS1213670 (Extract)","DNA extract","dna sequencing","ERS1213670 (Assay)","Assay"
"MBSMPL0020-6-1001","MBSMPL0020-6-1001","sample from organism","dna extraction","ERS1213670 (Extract)","DNA extract"
"MBSMPL0020-6-1002","ERS1213671 (Assay)","Assay","data transformation","ERS1213671 (OTU)","data item"
"MBSMPL0020-6-1002","ERS1213671 (Extract)","DNA extract","dna sequencing","ERS1213671 (Assay)","Assay"
"MBSMPL0020-6-1002","MBSMPL0020-6-1002","sample from organism","dna extraction","ERS1213671 (Extract)","DNA extract"
"MBSMPL0020-6-1003","ERS1213672 (Assay)","Assay","data transformation","ERS1213672 (OTU)","data item"
"MBSMPL0020-6-1003","ERS1213672 (Extract)","DNA extract","dna sequencing","ERS1213672 (Assay)","Assay"
"MBSMPL0020-6-1003","MBSMPL0020-6-1003","sample from organism","dna extraction","ERS1213672 (Extract)","DNA extract"
"MBSMPL0020-6-1004","ERS1213673 (Assay)","Assay","data transformation","ERS1213673 (OTU)","data item"
"MBSMPL0020-6-1004","ERS1213673 (Extract)","DNA extract","dna sequencing","ERS1213673 (Assay)","Assay"
"MBSMPL0020-6-1004","MBSMPL0020-6-1004","sample from organism","dna extraction","ERS1213673 (Extract)","DNA extract"
"MBSMPL0020-6-1005","ERS1213674 (Assay)","Assay","data transformation","ERS1213674 (OTU)","data item"
"MBSMPL0020-6-1005","ERS1213674 (Extract)","DNA extract","dna sequencing","ERS1213674 (Assay)","Assay"
